0x00000000019445F0 => 0x0000000000B1A530   (0xDA)   VM_OP_GreaterThan_Handler
0x00000000019445F8 => 0x0000000000B1C570   (0xDB)   VM_OP_ScriptFunctionCallClass_Handler
0x0000000001944600 => 0x0000000000B39B20   (0xDC)   VM_OP_InvalidOpcode_Handler
0x0000000001944608 => 0x0000000000B23310   (0xDD)   VM_OP_WaitTillFrameEnd_Handler
0x0000000001944610 => 0x0000000000B1E9B0   (0xDE)   VM_OP_EvalArray_Handler
0x0000000001944618 => 0x0000000000B1A5E0   (0xDF)   VM_OP_ShiftLeft_Handler
0x0000000001944620 => 0x0000000000B1AF00   (0xE0)   VM_OP_JumpOnTrue_Handler
0x0000000001944628 => 0x0000000000B39B20   (0xE1)   VM_OP_InvalidOpcode_Handler
0x0000000001944630 => 0x0000000000B1A7F0   (0xE2)   VM_OP_GetUndefined_Handler
0x0000000001944638 => 0x0000000000B1BD60   (0xE3)   VM_OP_CallBuiltinMethod_Handler
0x0000000001944640 => 0x0000000000B1A500   (0xE4)   VM_OP_LessThan_Handler
0x0000000001944648 => 0x0000000000B1A690   (0xE5)   VM_OP_Minus_Handler
0x0000000001944650 => 0x0000000000B1E900   (0xE6)   VM_OP_GetFunction_Handler
0x0000000001944658 => 0x0000000000B24400   (0xE7)   VM_OP_RealWait_Handler
0x0000000001944660 => 0x0000000000B39B20   (0xE8)   VM_OP_InvalidOpcode_Handler
0x0000000001944668 => 0x0000000000B39B20   (0xE9)   VM_OP_InvalidOpcode_Handler
0x0000000001944670 => 0x0000000000B39B20   (0xEA)   VM_OP_InvalidOpcode_Handler
0x0000000001944678 => 0x0000000000B1CE00   (0xEB)   VM_OP_ScriptThreadCallPointer_Handler
0x0000000001944680 => 0x0000000000B22610   (0xEC)   VM_OP_EndOnCallback_Handler
0x0000000001944688 => 0x0000000000B1F760   (0xED)   VM_OP_EvalSelfFieldVariableRef_Handler
0x0000000001944690 => 0x0000000000B1F760   (0xEE)   VM_OP_EvalSelfFieldVariableRef_Handler
0x0000000001944698 => 0x0000000000B1C570   (0xEF)   VM_OP_ScriptFunctionCallClass_Handler
0x00000000019446A0 => 0x0000000000B23590   (0xF0)   VM_OP_WaitTillMatch_Handler
0x00000000019446A8 => 0x0000000000B39B20   (0xF1)   VM_OP_InvalidOpcode_Handler
0x00000000019446B0 => 0x0000000000B1FD00   (0xF2)   VM_OP_GetTime_Handler
0x00000000019446B8 => 0x0000000000B39B20   (0xF3)   VM_OP_InvalidOpcode_Handler
0x00000000019446C0 => 0x0000000000B39B20   (0xF4)   VM_OP_InvalidOpcode_Handler
0x00000000019446C8 => 0x0000000000B1D040   (0xF5)   VM_OP_ScriptThreadCallClass_Handler
0x00000000019446D0 => 0x0000000000B1E570   (0xF6)   VM_OP_ProfileStop_Handler
0x00000000019446D8 => 0x0000000000B1E9B0   (0xF7)   VM_OP_EvalArray_Handler
0x00000000019446E0 => 0x0000000000B1C570   (0xF8)   VM_OP_ScriptFunctionCallClass_Handler
0x00000000019446E8 => 0x0000000000B1F890   (0xF9)   VM_OP_EvalSelfFieldVariable_Handler
0x00000000019446F0 => 0x0000000000B39B20   (0xFA)   VM_OP_InvalidOpcode_Handler
0x00000000019446F8 => 0x0000000000B39B20   (0xFB)   VM_OP_InvalidOpcode_Handler
0x0000000001944700 => 0x0000000000B1A490   (0xFC)   VM_OP_SuperNotEqual_Handler
0x0000000001944708 => 0x0000000000B39B20   (0xFD)   VM_OP_InvalidOpcode_Handler
0x0000000001944710 => 0x0000000000B1E690   (0xFE)   VM_OP_GetClassesObject_Handler
0x0000000001944718 => 0x0000000000B1A8C0   (0xFF)   VM_OP_GetNegUnsignedShort_Handler
0x0000000001944720 => 0x0000000000B23310   (0x100)   VM_OP_WaitTillFrameEnd_Handler
0x0000000001944728 => 0x0000000000B1A950   (0x101)   VM_OP_GetFloat_Handler
0x0000000001944730 => 0x0000000000B39B20   (0x102)   VM_OP_InvalidOpcode_Handler
0x0000000001944738 => 0x0000000000B39B20   (0x103)   VM_OP_InvalidOpcode_Handler
0x0000000001944740 => 0x0000000000B1F190   (0x104)   VM_OP_EvalFieldVariableRef_Handler
0x0000000001944748 => 0x0000000000B39B20   (0x105)   VM_OP_InvalidOpcode_Handler
0x0000000001944750 => 0x0000000000B1E7D0   (0x106)   VM_OP_GetLevel_Handler
0x0000000001944758 => 0x0000000000B39B20   (0x107)   VM_OP_InvalidOpcode_Handler
0x0000000001944760 => 0x0000000000B39B20   (0x108)   VM_OP_InvalidOpcode_Handler
0x0000000001944768 => 0x0000000000B23310   (0x109)   VM_OP_WaitTillFrameEnd_Handler
0x0000000001944770 => 0x0000000000B1F040   (0x10A)   VM_OP_GetSelfObject_Handler
