0x00000000019834C8 => 0x0000000000B74A30   (0xEB)   VM_OP_ScriptThreadCallPointer_Handler
0x00000000019834D0 => 0x0000000000B7C160   (0xEC)   VM_OP_EndOnCallback_Handler
0x00000000019834D8 => 0x0000000000B788A0   (0xED)   VM_OP_EvalSelfFieldVariableRef_Handler
0x00000000019834E0 => 0x0000000000B788A0   (0xEE)   VM_OP_EvalSelfFieldVariableRef_Handler
0x00000000019834E8 => 0x0000000000B74150   (0xEF)   VM_OP_ScriptFunctionCallClass_Handler
0x00000000019834F0 => 0x0000000000B7D460   (0xF0)   VM_OP_WaitTillMatch_Handler
0x00000000019834F8 => 0x0000000000B8B500   (0xF1)   VM_OP_InvalidOpcode_Handler
0x0000000001983500 => 0x0000000000B78E10   (0xF2)   VM_OP_GetTime_Handler
0x0000000001983508 => 0x0000000000B8B500   (0xF3)   VM_OP_InvalidOpcode_Handler
0x0000000001983510 => 0x0000000000B8B500   (0xF4)   VM_OP_InvalidOpcode_Handler
0x0000000001983518 => 0x0000000000B74C70   (0xF5)   VM_OP_ScriptThreadCallClass_Handler
0x0000000001983520 => 0x0000000000B76260   (0xF6)   VM_OP_ProfileStop_Handler
0x0000000001983528 => 0x0000000000B766A0   (0xF7)   VM_OP_EvalArray_Handler
0x0000000001983530 => 0x0000000000B74150   (0xF8)   VM_OP_ScriptFunctionCallClass_Handler
0x0000000001983538 => 0x0000000000B789D0   (0xF9)   VM_OP_EvalSelfFieldVariable_Handler
0x0000000001983540 => 0x0000000000B8B500   (0xFA)   VM_OP_InvalidOpcode_Handler
0x0000000001983548 => 0x0000000000B8B500   (0xFB)   VM_OP_InvalidOpcode_Handler
0x0000000001983550 => 0x0000000000B705D0   (0xFC)   VM_OP_SuperNotEqual_Handler
0x0000000001983558 => 0x0000000000B8B500   (0xFD)   VM_OP_InvalidOpcode_Handler
0x0000000001983560 => 0x0000000000B76380   (0xFE)   VM_OP_GetClassesObject_Handler
0x0000000001983568 => 0x0000000000B722B0   (0xFF)   VM_OP_GetNegUnsignedShort_Handler
0x0000000001983570 => 0x0000000000B7D190   (0x100)   VM_OP_WaitTillFrameEnd_Handler
0x0000000001983578 => 0x0000000000B72340   (0x101)   VM_OP_GetFloat_Handler
0x0000000001983580 => 0x0000000000B8B500   (0x102)   VM_OP_InvalidOpcode_Handler
0x0000000001983588 => 0x0000000000B8B500   (0x103)   VM_OP_InvalidOpcode_Handler
0x0000000001983590 => 0x0000000000B77BB0   (0x104)   VM_OP_EvalFieldVariableRef_Handler
0x0000000001983598 => 0x0000000000B8B500   (0x105)   VM_OP_InvalidOpcode_Handler
0x00000000019835A0 => 0x0000000000B764C0   (0x106)   VM_OP_GetLevel_Handler
0x00000000019835A8 => 0x0000000000B8B500   (0x107)   VM_OP_InvalidOpcode_Handler
0x00000000019835B0 => 0x0000000000B8B500   (0x108)   VM_OP_InvalidOpcode_Handler
0x00000000019835B8 => 0x0000000000B7D190   (0x109)   VM_OP_WaitTillFrameEnd_Handler
0x00000000019835C0 => 0x0000000000B77A70   (0x10A)   VM_OP_GetSelfObject_Handler
0x00000000019835C8 => 0x0000000000B8B500   (0x10B)   VM_OP_InvalidOpcode_Handler
0x00000000019835D0 => 0x0000000000B72370   (0x10C)   VM_OP_GetString_Handler
0x00000000019835D8 => 0x0000000000B766D0   (0x10D)   VM_OP_EvalArrayRef_Handler
0x00000000019835E0 => 0x0000000000B8B500   (0x10E)   VM_OP_InvalidOpcode_Handler
0x00000000019835E8 => 0x0000000000B78B10   (0x10F)   VM_OP_EvalLevelFieldVariableRef_Handler
0x00000000019835F0 => 0x0000000000B8B500   (0x110)   VM_OP_InvalidOpcode_Handler
0x00000000019835F8 => 0x0000000000B706A0   (0x111)   VM_OP_LessThanOrEqualTo_Handler
0x0000000001983600 => 0x0000000000B8B500   (0x112)   VM_OP_InvalidOpcode_Handler
0x0000000001983608 => 0x0000000000B71E70   (0x113)   VM_OP_Modulus_Handler
0x0000000001983610 => 0x0000000000B8B500   (0x114)   VM_OP_InvalidOpcode_Handler
0x0000000001983618 => 0x0000000000B8B500   (0x115)   VM_OP_InvalidOpcode_Handler
0x0000000001983620 => 0x0000000000B72250   (0x116)   VM_OP_GetNegByte_Handler
0x0000000001983628 => 0x0000000000B71F10   (0x117)   VM_OP_CastBool_Handler
0x0000000001983630 => 0x0000000000B8B500   (0x118)   VM_OP_InvalidOpcode_Handler
0x0000000001983638 => 0x0000000000B764C0   (0x119)   VM_OP_GetLevel_Handler
0x0000000001983640 => 0x0000000000B719E0   (0x11A)   VM_OP_Multiply_Handler
0x0000000001983648 => 0x0000000000B76380   (0x11B)   VM_OP_GetClassesObject_Handler
0x0000000001983650 => 0x0000000000B8B500   (0x11C)   VM_OP_InvalidOpcode_Handler
0x0000000001983658 => 0x0000000000B70440   (0x11D)   VM_OP_Bit_Or_Handler
0x0000000001983660 => 0x0000000000B8B500   (0x11E)   VM_OP_InvalidOpcode_Handler
0x0000000001983668 => 0x0000000000B779F0   (0x11F)   VM_OP_EmptyArray_Handler
0x0000000001983670 => 0x0000000000B74A30   (0x120)   VM_OP_ScriptThreadCallPointer_Handler
0x0000000001983678 => 0x0000000000B8B500   (0x121)   VM_OP_InvalidOpcode_Handler
0x0000000001983680 => 0x0000000000B77A70   (0x122)   VM_OP_GetSelfObject_Handler
0x0000000001983688 => 0x0000000000B765F0   (0x123)   VM_OP_GetFunction_Handler
0x0000000001983690 => 0x0000000000B8B500   (0x124)   VM_OP_InvalidOpcode_Handler
0x0000000001983698 => 0x0000000000B71B30   (0x125)   VM_OP_Divide_Handler
0x00000000019836A0 => 0x0000000000B78000   (0x126)   VM_OP_CastFieldObject_Handler
